scenario_num, attack_strength, time_interval_threshold(ms), tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
1, 1, 1, 324, 97555, 17, 0, 0.999653, 0.950147, 1.000000, 0.000174, 0.974436
1, 1, 2, 324, 97563, 9, 0, 0.999816, 0.972973, 1.000000, 0.000092, 0.986301
1, 1, 3, 324, 97564, 8, 0, 0.999837, 0.975904, 1.000000, 0.000082, 0.987805
1, 1, 4, 324, 97564, 8, 0, 0.999837, 0.975904, 1.000000, 0.000082, 0.987805
1, 1, 5, 324, 97565, 7, 0, 0.999857, 0.978852, 1.000000, 0.000072, 0.989313
1, 1, 6, 324, 97566, 6, 0, 0.999877, 0.981818, 1.000000, 0.000061, 0.990826
1, 1, 7, 324, 97566, 6, 0, 0.999877, 0.981818, 1.000000, 0.000061, 0.990826
1, 1, 8, 324, 97566, 6, 0, 0.999877, 0.981818, 1.000000, 0.000061, 0.990826
1, 2, 1, 660, 99960, 9, 0, 0.999821, 0.986547, 1.000000, 0.000090, 0.993228
1, 2, 2, 660, 99962, 7, 0, 0.999861, 0.989505, 1.000000, 0.000070, 0.994725
1, 2, 3, 660, 99963, 6, 0, 0.999881, 0.990991, 1.000000, 0.000060, 0.995475
1, 2, 4, 660, 99964, 5, 0, 0.999901, 0.992481, 1.000000, 0.000050, 0.996226
1, 2, 5, 660, 99964, 5, 0, 0.999901, 0.992481, 1.000000, 0.000050, 0.996226
1, 2, 6, 660, 99965, 4, 0, 0.999921, 0.993976, 1.000000, 0.000040, 0.996979
1, 2, 7, 660, 99965, 4, 0, 0.999921, 0.993976, 1.000000, 0.000040, 0.996979
1, 2, 8, 660, 99965, 4, 0, 0.999921, 0.993976, 1.000000, 0.000040, 0.996979
1, 3, 1, 1581, 96759, 31, 0, 0.999370, 0.980769, 1.000000, 0.000320, 0.990291
1, 3, 2, 1581, 96772, 18, 0, 0.999634, 0.988743, 1.000000, 0.000186, 0.994340
1, 3, 3, 1581, 96775, 15, 0, 0.999695, 0.990602, 1.000000, 0.000155, 0.995279
1, 3, 4, 1581, 96776, 14, 0, 0.999715, 0.991223, 1.000000, 0.000145, 0.995592
1, 3, 5, 1581, 96776, 14, 0, 0.999715, 0.991223, 1.000000, 0.000145, 0.995592
1, 3, 6, 1581, 96776, 14, 0, 0.999715, 0.991223, 1.000000, 0.000145, 0.995592
1, 3, 7, 1581, 96776, 14, 0, 0.999715, 0.991223, 1.000000, 0.000145, 0.995592
1, 3, 8, 1581, 96776, 14, 0, 0.999715, 0.991223, 1.000000, 0.000145, 0.995592
1, 4, 1, 3249, 98103, 21, 0, 0.999586, 0.993578, 1.000000, 0.000214, 0.996779
1, 4, 2, 3249, 98111, 13, 0, 0.999744, 0.996015, 1.000000, 0.000132, 0.998003
1, 4, 3, 3249, 98112, 12, 0, 0.999763, 0.996320, 1.000000, 0.000122, 0.998157
1, 4, 4, 3249, 98112, 12, 0, 0.999763, 0.996320, 1.000000, 0.000122, 0.998157
1, 4, 5, 3249, 98112, 12, 0, 0.999763, 0.996320, 1.000000, 0.000122, 0.998157
1, 4, 6, 3249, 98112, 12, 0, 0.999763, 0.996320, 1.000000, 0.000122, 0.998157
1, 4, 7, 3249, 98112, 12, 0, 0.999763, 0.996320, 1.000000, 0.000122, 0.998157
1, 4, 8, 3249, 98112, 12, 0, 0.999763, 0.996320, 1.000000, 0.000122, 0.998157
1, 5, 1, 6583, 98482, 27, 0, 0.999486, 0.995915, 1.000000, 0.000274, 0.997953
1, 5, 2, 6583, 98491, 18, 0, 0.999658, 0.997273, 1.000000, 0.000183, 0.998635
1, 5, 3, 6583, 98492, 17, 0, 0.999677, 0.997424, 1.000000, 0.000173, 0.998710
1, 5, 4, 6583, 98493, 16, 0, 0.999696, 0.997575, 1.000000, 0.000162, 0.998786
1, 5, 5, 6583, 98493, 16, 0, 0.999696, 0.997575, 1.000000, 0.000162, 0.998786
1, 5, 6, 6583, 98493, 16, 0, 0.999696, 0.997575, 1.000000, 0.000162, 0.998786
1, 5, 7, 6583, 98493, 16, 0, 0.999696, 0.997575, 1.000000, 0.000162, 0.998786
1, 5, 8, 6583, 98493, 16, 0, 0.999696, 0.997575, 1.000000, 0.000162, 0.998786
1, 6, 1, 19361, 116387, 49, 0, 0.999279, 0.997476, 1.000000, 0.000421, 0.998736
1, 6, 2, 19361, 116401, 35, 0, 0.999485, 0.998196, 1.000000, 0.000301, 0.999097
1, 6, 3, 19361, 116402, 34, 0, 0.999499, 0.998247, 1.000000, 0.000292, 0.999123
1, 6, 4, 19361, 116403, 33, 0, 0.999514, 0.998298, 1.000000, 0.000283, 0.999148
1, 6, 5, 19361, 116404, 32, 0, 0.999529, 0.998350, 1.000000, 0.000275, 0.999174
1, 6, 6, 19361, 116405, 31, 0, 0.999544, 0.998401, 1.000000, 0.000266, 0.999200
1, 6, 7, 19361, 116406, 30, 0, 0.999558, 0.998453, 1.000000, 0.000258, 0.999226
1, 6, 8, 19361, 116406, 30, 0, 0.999558, 0.998453, 1.000000, 0.000258, 0.999226
1, 7, 1, 33382, 103992, 74, 0, 0.998924, 0.997788, 1.000000, 0.000711, 0.998893
1, 7, 2, 33382, 103995, 71, 0, 0.998967, 0.997878, 1.000000, 0.000682, 0.998938
1, 7, 3, 33382, 103996, 70, 0, 0.998982, 0.997907, 1.000000, 0.000673, 0.998953
1, 7, 4, 33382, 104000, 66, 0, 0.999040, 0.998027, 1.000000, 0.000634, 0.999012
1, 7, 5, 33382, 104000, 66, 0, 0.999040, 0.998027, 1.000000, 0.000634, 0.999012
1, 7, 6, 33382, 104000, 66, 0, 0.999040, 0.998027, 1.000000, 0.000634, 0.999012
1, 7, 7, 33382, 104000, 66, 0, 0.999040, 0.998027, 1.000000, 0.000634, 0.999012
1, 7, 8, 33382, 104000, 66, 0, 0.999040, 0.998027, 1.000000, 0.000634, 0.999012
1, 8, 1, 287372, 95631, 659, 0, 0.996571, 0.997712, 1.000000, 0.006844, 0.998855
1, 8, 2, 287372, 95643, 647, 0, 0.996633, 0.997754, 1.000000, 0.006719, 0.998876
1, 8, 3, 287372, 95653, 637, 0, 0.996685, 0.997788, 1.000000, 0.006615, 0.998893
1, 8, 4, 287372, 95656, 634, 0, 0.996700, 0.997799, 1.000000, 0.006584, 0.998898
1, 8, 5, 287372, 95657, 633, 0, 0.996706, 0.997802, 1.000000, 0.006574, 0.998900
1, 8, 6, 287372, 95658, 632, 0, 0.996711, 0.997806, 1.000000, 0.006564, 0.998902
1, 8, 7, 287372, 95659, 631, 0, 0.996716, 0.997809, 1.000000, 0.006553, 0.998903
1, 8, 8, 287372, 95659, 631, 0, 0.996716, 0.997809, 1.000000, 0.006553, 0.998903
2, 1, 1, 316, 101165, 12, 0, 0.999764, 0.963415, 1.000000, 0.000119, 0.981366
2, 1, 2, 316, 101171, 6, 0, 0.999882, 0.981366, 1.000000, 0.000059, 0.990596
2, 1, 3, 316, 101172, 5, 0, 0.999901, 0.984424, 1.000000, 0.000049, 0.992151
2, 1, 4, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 5, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 6, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 7, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 1, 8, 316, 101173, 4, 0, 0.999921, 0.987500, 1.000000, 0.000040, 0.993711
2, 2, 1, 635, 101506, 12, 0, 0.999765, 0.981453, 1.000000, 0.000118, 0.990640
2, 2, 2, 635, 101513, 5, 0, 0.999902, 0.992187, 1.000000, 0.000049, 0.996078
2, 2, 3, 635, 101516, 2, 0, 0.999961, 0.996860, 1.000000, 0.000020, 0.998428
2, 2, 4, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 5, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 6, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 7, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 2, 8, 635, 101517, 1, 0, 0.999980, 0.998428, 1.000000, 0.000010, 0.999213
2, 3, 1, 1799, 114018, 18, 0, 0.999689, 0.990094, 1.000000, 0.000158, 0.995022
2, 3, 2, 1799, 114026, 10, 0, 0.999827, 0.994472, 1.000000, 0.000088, 0.997228
2, 3, 3, 1799, 114028, 8, 0, 0.999862, 0.995573, 1.000000, 0.000070, 0.997781
2, 3, 4, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 5, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 6, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 7, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 3, 8, 1799, 114031, 5, 0, 0.999914, 0.997228, 1.000000, 0.000044, 0.998612
2, 4, 1, 3097, 100249, 21, 0, 0.999594, 0.993265, 1.000000, 0.000209, 0.996621
2, 4, 2, 3097, 100256, 14, 0, 0.999729, 0.995500, 1.000000, 0.000140, 0.997745
2, 4, 3, 3097, 100257, 13, 0, 0.999749, 0.995820, 1.000000, 0.000130, 0.997906
2, 4, 4, 3097, 100259, 11, 0, 0.999787, 0.996461, 1.000000, 0.000110, 0.998227
2, 4, 5, 3097, 100259, 11, 0, 0.999787, 0.996461, 1.000000, 0.000110, 0.998227
2, 4, 6, 3097, 100259, 11, 0, 0.999787, 0.996461, 1.000000, 0.000110, 0.998227
