scenario_num, attack_strength, time_interval_threshold(ms), tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
1, 1, 1, 324, 97557, 15, 0, 0.999694, 0.955752, 1.000000, 0.000154, 0.977376
1, 1, 2, 324, 97566, 6, 0, 0.999877, 0.981818, 1.000000, 0.000061, 0.990826
1, 1, 3, 324, 97567, 5, 0, 0.999898, 0.984802, 1.000000, 0.000051, 0.992343
1, 1, 4, 324, 97567, 5, 0, 0.999898, 0.984802, 1.000000, 0.000051, 0.992343
1, 1, 5, 324, 97569, 3, 0, 0.999939, 0.990826, 1.000000, 0.000031, 0.995392
1, 1, 6, 324, 97570, 2, 0, 0.999959, 0.993865, 1.000000, 0.000020, 0.996923
1, 1, 7, 324, 97570, 2, 0, 0.999959, 0.993865, 1.000000, 0.000020, 0.996923
1, 1, 8, 324, 97570, 2, 0, 0.999959, 0.993865, 1.000000, 0.000020, 0.996923
1, 2, 1, 660, 99962, 7, 0, 0.999861, 0.989505, 1.000000, 0.000070, 0.994725
1, 2, 2, 660, 99964, 5, 0, 0.999901, 0.992481, 1.000000, 0.000050, 0.996226
1, 2, 3, 660, 99965, 4, 0, 0.999921, 0.993976, 1.000000, 0.000040, 0.996979
1, 2, 4, 660, 99966, 3, 0, 0.999940, 0.995475, 1.000000, 0.000030, 0.997732
1, 2, 5, 660, 99966, 3, 0, 0.999940, 0.995475, 1.000000, 0.000030, 0.997732
1, 2, 6, 660, 99967, 2, 0, 0.999960, 0.996979, 1.000000, 0.000020, 0.998487
1, 2, 7, 660, 99967, 2, 0, 0.999960, 0.996979, 1.000000, 0.000020, 0.998487
1, 2, 8, 660, 99967, 2, 0, 0.999960, 0.996979, 1.000000, 0.000020, 0.998487
1, 3, 1, 1581, 96770, 20, 0, 0.999593, 0.987508, 1.000000, 0.000207, 0.993715
1, 3, 2, 1581, 96784, 6, 0, 0.999878, 0.996219, 1.000000, 0.000062, 0.998106
1, 3, 3, 1581, 96787, 3, 0, 0.999939, 0.998106, 1.000000, 0.000031, 0.999052
1, 3, 4, 1581, 96788, 2, 0, 0.999959, 0.998737, 1.000000, 0.000021, 0.999368
1, 3, 5, 1581, 96788, 2, 0, 0.999959, 0.998737, 1.000000, 0.000021, 0.999368
1, 3, 6, 1581, 96788, 2, 0, 0.999959, 0.998737, 1.000000, 0.000021, 0.999368
1, 3, 7, 1581, 96788, 2, 0, 0.999959, 0.998737, 1.000000, 0.000021, 0.999368
1, 3, 8, 1581, 96788, 2, 0, 0.999959, 0.998737, 1.000000, 0.000021, 0.999368
1, 4, 1, 3249, 98114, 10, 0, 0.999803, 0.996932, 1.000000, 0.000102, 0.998463
1, 4, 2, 3249, 98123, 1, 0, 0.999980, 0.999692, 1.000000, 0.000010, 0.999846
1, 4, 3, 3249, 98124, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
